,Multiplicity,Group Num,Start Position,Product,Gene Name,Reactions
ykfM,1.4599955836890919,1.0,234743.0,"lethality reduction protein, putative inner membrane protein",b4586,
ykgS,2.184788501793453,2.0,286208.0,No_gene_product,b4688,
ykgP,1.339859659453359,3.0,309426.0,No_gene_product,b4630,
hha,1.3148843121478129,4.0,475648.0,"modulator of gene expression, with H-NS",b0460,
ybcK,1.3348827537419343,5.0,565248.0,DLP12 prophage; putative recombinase,b0544,
ybcM,1.3712239527126369,5.0,567296.0,DLP12 prophage; putative DNA-binding transcriptional regulator,b0546,
ybcV,1.347093025129991,6.0,574639.0,DLP12 prophage; uncharacterized protein,b0558,
appY,1.3616173511948577,7.0,579584.0,global transcriptional activator; DLP12 prophage,b0564,
ybfB,1.3009434518624363,8.0,729231.0,putative membrane protein,b0702,
ymfD,1.4162388503622128,9.0,1192322.0,e14 prophage; putative SAM-dependent methyltransferase,b1137,
ymfE,1.4927339679039646,9.0,1192988.0,e14 prophage; putative inner membrane protein,b1138,
mcrA,1.3768722987163047,10.0,1206272.0,putative 5-methylcytosine/5-hydroxymethylcytosine-specific restriction nuclease; 5-methylcytosine DNA binding protein,b1159,
icdC,1.3338864874268967,10.0,1206868.0,No_gene_product,b4519,
iraM,1.4439382952312931,10.0,1207296.0,"RpoS stabilzer during Mg starvation, anti-RssB factor",b1160,
ariR,1.3328878427947697,11.0,1211904.0,RcsB connector protein for regulation of biofilm and acid-resistance,b1166,
ymgC,1.3543826417106672,11.0,1212416.0,"Blue light, low temperature and stress induced protein",b1167,
ymgI,1.285899446861289,12.0,1218560.0,uncharacterized protein,b4593,
ldrA,1.7966479654982528,13.0,1264640.0,"toxic polypeptide, small",b4419,
ldrC,1.8134544820103484,13.0,1265693.0,"toxic polypeptide, small",b4423,
rcbA,1.3278024296720015,14.0,1407787.0,,,
tfaR,1.8230112288794023,15.0,1426667.0,Rac prophage; putative tail fiber assembly protein,b1373,
ynaE,1.831095609985644,15.0,1428480.0,"cold shock protein, Rac prophage",b1375,
ynbG,1.4670851009729269,16.0,1459456.0,uncharacterized protein,b4674,
ydbC,1.7512391060483967,16.0,1468477.0,putative NAD(P)-binding oxidoreductase,b1406,
ydbD,1.9518020379861445,16.0,1469400.0,PF10971 family putative periplasmic methylglyoxal resistance protein,b1407,
ynbA,1.7842770586494836,16.0,1471877.0,inner membrane protein,b1408,
ynbB,1.943365530882092,16.0,1472512.0,putative CDP-diglyceride synthase,b1409,
ynbC,1.818981662679929,16.0,1474560.0,putative esterase,b1410,
ynbD,1.7959652975192038,16.0,1475165.0,putative phosphatase inner membrane protein,b1411,
azoR,1.874245425425805,16.0,1476608.0,"NADH-azoreductase, FMN-dependent",b1412,
hrpA,1.7868577240689398,16.0,1477317.0,putative ATP-dependent helicase,b1413,
ydcF,1.9450569020433572,16.0,1481491.0,"DUF218 superfamily protein, SAM-binding",b1414,
aldA,1.812757618136317,16.0,1482752.0,"aldehyde dehydrogenase A, NAD-linked",b1415,"frozenset({<Reaction GCALDD at 0x7fcfa6979438>, <Reaction LCADi at 0x7fcfa6877ac8>})"
gapC,1.742794229177271,16.0,1484800.0,No_gene_product,b4493,
cybB,1.9537809360084037,16.0,1485158.0,cytochrome b561,b1418,
ydcA,2.0366723012702392,16.0,1485933.0,putative periplasmic protein,b1419,
hokB,1.9731782717503314,16.0,1486178.0,"toxic polypeptide, small",b4428,
mokB,2.0032701730773277,16.0,1486336.0,regulatory peptide,b1420,
trg,1.902557145385619,16.0,1486726.0,"methyl-accepting chemotaxis protein III, ribose and galactose sensor receptor",b1421,
ydcI,1.8806219542271363,16.0,1488896.0,putative DNA-binding transcriptional regulator,b1422,
