,Multiplicity,Group Num,Start Position,Product,Gene Name,Reactions
ykgS,2.0245521390351255,1.0,286208.0,No_gene_product,b4688,
ykgR,1.7678319306281647,2.0,308851.0,uncharacterized protein,b4671,
ariR,1.3949918240966659,3.0,1211904.0,RcsB connector protein for regulation of biofilm and acid-resistance,b1166,
ymgC,1.4202239477327434,3.0,1212416.0,"Blue light, low temperature and stress induced protein",b1167,
ldrA,1.9029139509622317,4.0,1264640.0,"toxic polypeptide, small",b4419,
ldrC,1.8420469135673725,4.0,1265693.0,"toxic polypeptide, small",b4423,
ydaQ,1.3706291225261669,5.0,1407493.0,Rac prophage; conserved protein,b1346,
tfaR,1.5625844465483405,6.0,1426667.0,Rac prophage; putative tail fiber assembly protein,b1373,
ynbG,1.6370615290676103,7.0,1459456.0,uncharacterized protein,b4674,
ydbC,1.4596697921188582,7.0,1468477.0,putative NAD(P)-binding oxidoreductase,b1406,
ydbD,1.6654487128020434,7.0,1469400.0,PF10971 family putative periplasmic methylglyoxal resistance protein,b1407,
ynbA,1.5660479419656914,7.0,1471877.0,inner membrane protein,b1408,
ynbB,1.7964100433738377,7.0,1472512.0,putative CDP-diglyceride synthase,b1409,
ynbC,1.5796570123190905,7.0,1474560.0,putative esterase,b1410,
ynbD,1.685432401364525,7.0,1475165.0,putative phosphatase inner membrane protein,b1411,
azoR,1.5996355248817564,7.0,1476608.0,"NADH-azoreductase, FMN-dependent",b1412,
hrpA,1.6139296154930085,7.0,1477317.0,putative ATP-dependent helicase,b1413,
ydcF,1.645380337096367,7.0,1481491.0,"DUF218 superfamily protein, SAM-binding",b1414,
aldA,1.692888186376372,7.0,1482752.0,"aldehyde dehydrogenase A, NAD-linked",b1415,"frozenset({<Reaction GCALDD at 0x7fcfa6979438>, <Reaction LCADi at 0x7fcfa6877ac8>})"
gapC,1.588301477387596,7.0,1484800.0,No_gene_product,b4493,
cybB,1.59151506641347,7.0,1485158.0,cytochrome b561,b1418,
ydcA,2.1044167249499024,7.0,1485933.0,putative periplasmic protein,b1419,
hokB,1.5735767231316895,7.0,1486178.0,"toxic polypeptide, small",b4428,
mokB,1.6193563220788145,7.0,1486336.0,regulatory peptide,b1420,
trg,1.7111665963841092,7.0,1486726.0,"methyl-accepting chemotaxis protein III, ribose and galactose sensor receptor",b1421,
ydcI,1.6261381116653026,7.0,1488896.0,putative DNA-binding transcriptional regulator,b1422,
ydcJ,1.4751173314494042,7.0,1489544.0,putative metalloenzyme,b1423,
opgD,1.5689886424708133,7.0,1491112.0,OPG biosynthetic periplasmic protein,b1424,
ydcH,1.7153951959830323,7.0,1492992.0,DUF465 family protein,b1426,
rimL,1.7400385868738912,7.0,1493194.0,ribosomal-protein-L7/L12-serine acetyltransferase,b1427,
ydcK,1.6440127162455889,7.0,1493725.0,uncharacterized protein,b1428,
tehA,1.6212949635007652,7.0,1495040.0,potassium-tellurite ethidium and proflavin transporter,b1429,
tehB,1.6213862683426916,7.0,1495818.0,"tellurite, selenium methyltransferase, SAM-dependent; tellurite, selenium resistance protein",b1430,
ydcL,1.6799237370573512,7.0,1497088.0,lipoprotein,b1431,
insP,1.5296076167982926,7.0,1497474.0,No_gene_product,b4578,
insQ,1.6293055901422449,7.0,1497973.0,IS609 transposase B,b1432,
ydcO,1.6434258448735675,7.0,1499161.0,BenE family inner membrane putative transporter,b1433,
ydcN,1.6146184088462412,7.0,1500428.0,putative DNA-binding transcriptional regulator,b1434,
ydcP,1.5320231888569757,7.0,1501037.0,putative peptidase,b1435,
yncJ,1.5553978993367052,7.0,1503232.0,uncharacterized protein,b1436,
hicA,1.425282911661485,7.0,1503542.0,mRNA interferase toxin of the HicAB toxin-antitoxin system,b4532,
hicB,1.7162353538709567,7.0,1503764.0,antitoxin for the HicAB toxin-antitoxin system,b1438,
ydcR,1.5495610873282684,7.0,1504259.0,putative DNA-binding transcriptional regulator and putative aminotransferase,b1439,
ydcS,1.600258807246049,7.0,1505910.0,putative ABC transporter periplasmic binding protein,b1440,"frozenset({<Reaction SPMDabcpp at 0x7fcfa65f7390>, <Reaction PTRCabcpp at 0x7fcfa6676e48>})"
ydcT,1.64093990393123,7.0,1507328.0,putative ABC transporter ATPase,b1441,"frozenset({<Reaction SPMDabcpp at 0x7fcfa65f7390>, <Reaction PTRCabcpp at 0x7fcfa6676e48>})"
ydcU,1.5476005197347242,7.0,1508087.0,putative ABC transporter permease,b1442,"frozenset({<Reaction SPMDabcpp at 0x7fcfa65f7390>, <Reaction PTRCabcpp at 0x7fcfa6676e48>})"
ydcV,1.4435140569832214,7.0,1509376.0,putative ABC transporter permease,b1443,"frozenset({<Reaction SPMDabcpp at 0x7fcfa65f7390>, <Reaction PTRCabcpp at 0x7fcfa6676e48>})"
patD,1.504739888176048,7.0,1509834.0,gamma-aminobutyraldehyde dehydrogenase,b1444,frozenset({<Reaction ABUTD at 0x7fcfa6c41240>})
yncL,1.9817134866263981,7.0,1511424.0,stress-induced small inner membrane enterobacterial protein,b4598,
ydcX,1.6507411669443772,7.0,1511645.0,DUF2566 family protein,b1445,
ydcY,1.7596396563579015,7.0,1511936.0,DUF2526 family protein,b1446,
ydcZ,1.4952392941536938,7.0,1512138.0,DUF606 family inner membrane protein,b1447,
mnaT,1.4745273782557897,7.0,1512584.0,methionine N-acyltransferase; L-amino acid N-acyltransferase,b1448,
tfaQ,1.5435742741041951,8.0,1628566.0,Qin prophage; putative tail fibre assembly protein,b1546,
yoeH,1.3427901552383479,9.0,2061824.0,No_gene_product,b4641,
wbbK,1.9088680285480397,10.0,2097152.0,lipopolysaccharide biosynthesis protein,b2032,frozenset({<Reaction O16GLCT1 at 0x7fcfa67311d0>})
wbbJ,1.5556634807664205,10.0,2097974.0,putative lipopolysaccharide biosynthesis O-acetyl transferase,b2033,frozenset({<Reaction O16AT at 0x7fcfa6724ba8>})
