,Multiplicity,Group Num,Start Position,Product,Gene Name,Reactions
sgrT,1.3995733019535468,1.0,73874.0,inhibitor of glucose uptake,b4662,
ykgS,1.8092846931133695,2.0,286208.0,No_gene_product,b4688,
psiF,1.4086820101102386,3.0,398848.0,PsiF family protein,b0384,
ldrC,1.441386902477564,4.0,1265693.0,"toxic polypeptide, small",b4423,
ralR,1.3644764962511067,5.0,1408000.0,Rac prophage; restriction alleviation protein,b1348,
tfaR,1.835635086108022,6.0,1426667.0,Rac prophage; putative tail fiber assembly protein,b1373,
ydbC,1.5512929190513733,7.0,1468477.0,putative NAD(P)-binding oxidoreductase,b1406,
ydbD,1.4906549899287764,7.0,1469400.0,PF10971 family putative periplasmic methylglyoxal resistance protein,b1407,
ydcF,1.5703509980604493,8.0,1481491.0,"DUF218 superfamily protein, SAM-binding",b1414,
aldA,1.4380245122561153,8.0,1482752.0,"aldehyde dehydrogenase A, NAD-linked",b1415,"frozenset({<Reaction GCALDD at 0x7fcfa6979438>, <Reaction LCADi at 0x7fcfa6877ac8>})"
gapC,1.4589273830854106,8.0,1484800.0,No_gene_product,b4493,
ydcA,1.3308239865426197,8.0,1485933.0,putative periplasmic protein,b1419,
ydcJ,1.4236063382842907,8.0,1489544.0,putative metalloenzyme,b1423,
opgD,1.357340938533727,8.0,1491112.0,OPG biosynthetic periplasmic protein,b1424,
ydcH,1.549186401803703,8.0,1492992.0,DUF465 family protein,b1426,
rimL,1.5077042341408509,8.0,1493194.0,ribosomal-protein-L7/L12-serine acetyltransferase,b1427,
ydcL,1.5767359820745146,8.0,1497088.0,lipoprotein,b1431,
insP,1.4850028133689954,8.0,1497474.0,No_gene_product,b4578,
ydcO,1.4097180288477482,8.0,1499161.0,BenE family inner membrane putative transporter,b1433,
ydcN,1.44399543963682,8.0,1500428.0,putative DNA-binding transcriptional regulator,b1434,
yncJ,1.5078602283943658,8.0,1503232.0,uncharacterized protein,b1436,
hicA,1.309428946616942,8.0,1503542.0,mRNA interferase toxin of the HicAB toxin-antitoxin system,b4532,
patD,1.5857553171019196,9.0,1509834.0,gamma-aminobutyraldehyde dehydrogenase,b1444,frozenset({<Reaction ABUTD at 0x7fcfa6c41240>})
yncL,1.8777839163603782,9.0,1511424.0,stress-induced small inner membrane enterobacterial protein,b4598,
ydcX,1.7818261778593611,9.0,1511645.0,DUF2566 family protein,b1445,
tfaQ,1.7480860577004942,10.0,1628566.0,Qin prophage; putative tail fibre assembly protein,b1546,
wbbJ,1.7829781825939222,11.0,2097974.0,putative lipopolysaccharide biosynthesis O-acetyl transferase,b2033,frozenset({<Reaction O16AT at 0x7fcfa6724ba8>})
