,Multiplicity,Group Num,Start Position,Product,Gene Name,Reactions
ykfM,1.4971071177102764,1.0,234743.0,"lethality reduction protein, putative inner membrane protein",b4586,
dinJ,1.4412837721977934,2.0,242728.0,antitoxin of YafQ-DinJ toxin-antitoxin system,b0226,
ykfN,1.4972924716850204,3.0,258860.0,No_gene_product,b4626,
ykgS,2.1189651447859084,4.0,286208.0,No_gene_product,b4688,
yagL,1.4776363904048813,4.0,288930.0,CP4-6 prophage; DNA-binding protein,b0278,
ykgR,1.3282337875547734,5.0,308851.0,uncharacterized protein,b4671,
ykgQ,1.5237571575889044,5.0,313149.0,No_gene_product,b4631,
ykgH,1.4614073156955731,6.0,320406.0,putative inner membrane protein,b0310,
yahL,1.3854943790914265,7.0,339968.0,uncharacterized protein,b0326,
yahO,1.461361906720969,7.0,342194.0,"periplasmic protein, function unknown, YhcN family",b0329,
hha,1.3711518837781007,8.0,475648.0,"modulator of gene expression, with H-NS",b0460,
ybbC,1.370906541943756,9.0,523036.0,putative immunity protein,b0498,
ybcK,1.4998556286320412,10.0,565248.0,DLP12 prophage; putative recombinase,b0544,
ybcM,1.4883593614624682,10.0,567296.0,DLP12 prophage; putative DNA-binding transcriptional regulator,b0546,
ybcV,1.6568142946060167,11.0,574639.0,DLP12 prophage; uncharacterized protein,b0558,
appY,1.5561292766584727,12.0,579584.0,global transcriptional activator; DLP12 prophage,b0564,
ybeT,2.057138481977586,13.0,674307.0,Sel1 family TPR-like repeat protein,b0647,
ybeU,1.943654129783474,13.0,674963.0,DUF1266 family protein,b0648,
djlC,1.6710479287389797,13.0,675667.0,J domain-containing HscC co-chaperone; Hsc56,b0649,
hscC,1.6607685335041176,13.0,677178.0,Hsp70 family chaperone Hsc62; RpoD-binding transcription inhibitor,b0650,frozenset({<Reaction NTP1 at 0x7fcfa6717160>})
rihA,1.440720034765345,13.0,678932.0,ribonucleoside hydrolase 1,b0651,"frozenset({<Reaction URIH at 0x7fcfa6594748>, <Reaction CYTDH at 0x7fcfa6aa7748>})"
gltL,1.7683627533562907,13.0,679985.0,glutamate/aspartate ABC transporter ATPase,b0652,"frozenset({<Reaction GLUabcpp at 0x7fcfa692a588>, <Reaction ASPabcpp at 0x7fcfa6b8bcf8>})"
gltK,1.475273032225832,13.0,680710.0,glutamate/aspartate ABC transporter permease,b0653,"frozenset({<Reaction GLUabcpp at 0x7fcfa692a588>, <Reaction ASPabcpp at 0x7fcfa6b8bcf8>})"
gltJ,1.4252867906742441,13.0,681984.0,glutamate/aspartate ABC transporter permease,b0654,"frozenset({<Reaction GLUabcpp at 0x7fcfa692a588>, <Reaction ASPabcpp at 0x7fcfa6b8bcf8>})"
gltI,1.6478276241642174,13.0,682294.0,glutamate/aspartate periplasmic binding protein,b0655,"frozenset({<Reaction GLUabcpp at 0x7fcfa692a588>, <Reaction ASPabcpp at 0x7fcfa6b8bcf8>})"
ybfB,1.4905107282584893,14.0,729231.0,putative membrane protein,b0702,
elfA,1.3485476941124044,15.0,993323.0,laminin-binding fimbrin subunit,b0938,
ymfD,2.484943901568363,16.0,1192322.0,e14 prophage; putative SAM-dependent methyltransferase,b1137,
ymfE,2.441001358550312,16.0,1192988.0,e14 prophage; putative inner membrane protein,b1138,
lit,2.1251317947876567,16.0,1194150.0,"T4 phage exclusion protein; cell death peptidase, e14 prophage",b1139,
intE,1.9388931831822913,16.0,1196032.0,e14 prophage; putative integrase,b1140,
xisE,2.082157678765527,16.0,1196242.0,e14 prophage; putative excisionase,b1141,
ymfI,1.901327049707494,16.0,1196952.0,e14 prophage; uncharacterized protein,b1143,
ymfJ,1.77022489816597,16.0,1197231.0,e14 prophage; uncharacterized protein,b1144,
cohE,1.890511686936773,16.0,1198080.0,e14 prophage; repressor protein phage e14,b1145,
croE,1.7415362872861615,16.0,1198592.0,e14 prophage; putative DNA-binding transcriptional regulator,b1146,
ymfL,1.6105466657120884,16.0,1198723.0,e14 prophage; putative DNA-binding transcriptional regulator,b1147,
ymfM,1.59229651700373,16.0,1199277.0,e14 prophage; uncharacterized protein,b1148,
aaaE,1.428434065787427,16.0,1200128.0,No_gene_product,b4693,
ymfR,1.655483965296196,16.0,1201152.0,e14 prophage; uncharacterized protein,b1150,
beeE,1.555724111281639,16.0,1201186.0,No_gene_product,b1151,
ymfQ,1.4987328829928857,16.0,1202368.0,prohage e14 tail protein homolog,b1153,
stfP,1.7955009755807751,16.0,1202956.0,e14 prophage; uncharacterized protein,b1154,
tfaP,2.1116579781994336,16.0,1203587.0,e14 prophage; uncharacterized protein,b1155,
