,Multiplicity,Group Num,Start Position,Product,Gene Name,Reactions
ykfM,1.656142039829117,1.0,234743.0,"lethality reduction protein, putative inner membrane protein",b4586,
ykfN,1.5148474317922294,2.0,258860.0,No_gene_product,b4626,
ykgS,2.4622866263333067,3.0,286208.0,No_gene_product,b4688,
yagL,1.4973214704198243,3.0,288930.0,CP4-6 prophage; DNA-binding protein,b0278,
yagM,1.452953267702336,3.0,289655.0,CP4-6 prophage; uncharacterized protein,b0279,
ecpR,1.5161123033339232,4.0,306456.0,putative transcriptional regulator for the ecp operon,b0294,
ykgR,1.7782949919622355,4.0,308851.0,uncharacterized protein,b4671,
ykgP,1.552495941749148,4.0,309426.0,No_gene_product,b4630,
rclB,1.5781536431414096,4.0,314041.0,reactive chlorine species (RCS) stress resistance periplasmic protein,b0303,
ykgH,1.4494100099100586,5.0,320406.0,putative inner membrane protein,b0310,
hha,1.3962645502380842,6.0,475648.0,"modulator of gene expression, with H-NS",b0460,
tomB,1.3712695274381188,6.0,475789.0,Hha toxicity attenuator; conjugation-related protein,b0461,
ybbC,1.4629259437385447,7.0,523036.0,putative immunity protein,b0498,
sfmZ,1.4452035107363421,8.0,559303.0,response regulator family protein,b0535,
ybcM,1.4890581967547736,9.0,567296.0,DLP12 prophage; putative DNA-binding transcriptional regulator,b0546,
ylcH,1.3053085099078419,9.0,567823.0,"uncharacterized protein, DLP12 prophage",b4588,
borD,1.4336289415133934,10.0,574055.0,DLP12 prophage; putative lipoprotein,b0557,
ylcI,1.3689224823289576,10.0,575706.0,"DUF3950 family protein, DLP12 prophage",b4589,
appY,1.5162360600417655,11.0,579584.0,global transcriptional activator; DLP12 prophage,b0564,
ybdO,1.5000040600006828,12.0,632832.0,putative DNA-binding transcriptional regulator,b0603,
ybeD,1.3465049920875503,13.0,657920.0,UPF0250 family protein,b0631,
rihA,6.122770874196793,14.0,678932.0,ribonucleoside hydrolase 1,b0651,"frozenset({<Reaction URIH at 0x7fcfa6594748>, <Reaction CYTDH at 0x7fcfa6aa7748>})"
gltL,6.766406384112398,14.0,679985.0,glutamate/aspartate ABC transporter ATPase,b0652,"frozenset({<Reaction GLUabcpp at 0x7fcfa692a588>, <Reaction ASPabcpp at 0x7fcfa6b8bcf8>})"
gltK,6.511652681631963,14.0,680710.0,glutamate/aspartate ABC transporter permease,b0653,"frozenset({<Reaction GLUabcpp at 0x7fcfa692a588>, <Reaction ASPabcpp at 0x7fcfa6b8bcf8>})"
gltJ,5.904368468628539,14.0,681984.0,glutamate/aspartate ABC transporter permease,b0654,"frozenset({<Reaction GLUabcpp at 0x7fcfa692a588>, <Reaction ASPabcpp at 0x7fcfa6b8bcf8>})"
gltI,6.52236833838377,14.0,682294.0,glutamate/aspartate periplasmic binding protein,b0655,"frozenset({<Reaction GLUabcpp at 0x7fcfa692a588>, <Reaction ASPabcpp at 0x7fcfa6b8bcf8>})"
ybfB,1.7283810538065727,15.0,729231.0,putative membrane protein,b0702,
gnsA,1.3441005731560105,16.0,1047552.0,putative phosphatidylethanolamine synthesis regulator,b4517,
yccE,1.5092078833000042,17.0,1059491.0,uncharacterized protein,b1001,
yceO,1.4378503563895515,18.0,1114762.0,uncharacterized protein,b1058,
